system:index,area,ecoregion,pixelValue,variable,.geo
0_0_158,10.82841865234375,1,31839,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_159,8.405642657470702,1,31841,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_160,0.08900189208984376,1,31903,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_161,0.26543131103515627,1,31904,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_162,109.34531032104474,1,31909,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_163,0.4442236694335937,1,31911,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_164,1510.9433675415044,1,31915,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_165,1723.87367000122,1,31921,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_166,0.4436978576660156,1,31925,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_167,2.220049749755859,1,31933,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_168,7.278244830322267,1,31939,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_169,1.948048968505859,1,31941,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_170,0.08901461791992188,1,32003,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_171,3.454789428710938,1,32009,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_172,752.8274841918948,1,32015,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_173,1319.090243597412,1,32021,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_174,0.4445261962890625,1,32025,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_175,1.2438748779296873,1,32033,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_176,0.08885033569335937,1,32039,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_177,0.6198701354980469,1,32041,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_178,0.1770096435546875,1,32104,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_179,2.036492004394531,1,32109,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_180,423.99137467651383,1,32115,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_181,847.0548660461421,1,32121,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_182,2.4811718505859375,1,32133,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_183,16.983909991455075,1,32141,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_184,0.801119873046875,1,32203,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_185,0.6200558776855469,1,32204,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_186,6.735248437499999,1,32209,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_187,0.17801495361328123,1,32211,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_188,1016.0688178833009,1,32215,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_189,1651.7824704833997,1,32221,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_190,0.0889951171875,1,32224,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_191,0.6222892944335937,1,32225,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_192,7.719881829833984,1,32233,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_193,1.9455316467285153,1,32239,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_194,12.38970852661133,1,32241,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_195,2.479258404541016,1,32309,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_196,0.17760252075195312,1,32311,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_197,891.7641147094728,1,32315,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_198,1263.5195511169431,1,32321,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_199,2.0467105651855473,1,32325,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_200,1.9536909118652344,1,32333,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_201,0.264801513671875,1,32339,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_202,45.4578860107422,1,32341,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_203,0.4449695068359375,1,32403,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_204,0.17715258178710938,1,32404,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_205,7.172431732177733,1,32409,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_206,0.4435514099121094,1,32411,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_207,921.6332697509764,1,32415,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_208,1340.678540167237,1,32421,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_209,0.2662914733886719,1,32424,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_210,2.4908472839355467,1,32425,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_211,3.5471951293945314,1,32433,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_212,0.9738091430664062,1,32439,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_213,1.1520245727539062,1,32441,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_214,0.17803238525390624,1,32503,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_215,0.4419333190917969,1,32504,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_216,18.24395485839843,1,32509,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_217,643.1814645385742,1,32515,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_218,1402.1830000976584,1,32521,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_219,0.5338815246582032,1,32525,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_220,1.2402174865722655,1,32533,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_221,0.08903944091796875,1,32541,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_222,0.178011328125,1,32603,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_223,0.08836375122070313,1,32604,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_224,3.5447600097656253,1,32609,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_225,0.08901810302734375,1,32611,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_226,1094.6273845886233,1,32615,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_227,2926.4921118957404,1,32621,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_228,3.4707741088867183,1,32625,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_229,1.5103365112304687,1,32633,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_230,0.9716855407714844,1,32639,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_231,0.17801022338867187,1,32641,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_232,0.17805565185546873,1,32703,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_233,0.08841834106445312,1,32704,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_234,33.51755740356445,1,32709,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_235,825.6296535461425,1,32715,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_236,2154.287047503658,1,32721,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_237,7.5673953186035146,1,32725,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_238,0.8872352783203126,1,32733,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_239,0.7948747619628906,1,32739,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_240,1.1532343688964846,1,32741,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_241,0.08901030883789063,1,32803,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_242,96.7864998901369,1,32809,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_243,437.1631008789062,1,32815,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_244,766.1360208984377,1,32821,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_245,1.5108406921386717,1,32825,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_246,1.1546749450683593,1,32833,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_247,0.0889808349609375,1,32903,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_248,0.0886133544921875,1,32904,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_249,16.38066878662109,1,32909,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_250,0.088575,1,32911,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_251,531.3520361694336,1,32915,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_252,1501.7605287719723,1,32921,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_253,1.5990749450683597,1,32925,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_254,1.952711865234375,1,32933,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_255,0.08897295532226562,1,32941,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_256,0.08896919555664062,1,33003,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_257,98.58841529541024,1,33009,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_258,0.0883232666015625,1,33011,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_259,273.0717293579102,1,33015,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_260,1305.9621251770022,1,33021,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_261,0.8896252197265625,1,33025,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_262,0.9750361022949218,1,33033,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_263,0.1779370300292969,1,33103,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_264,0.08864613647460938,1,33104,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_265,18.94994230957032,1,33109,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_266,0.444829345703125,1,33111,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_267,167.1169311828613,1,33115,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_268,1797.1542150024425,1,33121,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_269,1.0673039916992186,1,33125,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_270,0.6203423461914063,1,33133,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_271,1.0595709655761718,1,33141,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_272,5.225585650634765,1,33209,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_273,153.50850449829102,1,33215,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_274,1782.7407542541505,1,33221,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_275,1.4227670166015625,1,33225,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_276,0.17752208251953125,1,33233,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_277,91.52931381835938,1,33315,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_278,2149.3300913146904,1,33321,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_279,1.150624041748047,1,33325,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_280,29.70732329711914,1,33415,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
